"연도","base_city_kr","base_city_en","target_city_kr","target_city_en","구분","logistics_type","물동량"
"2021","충청권(대전제외)","Chungcheong(excl. DJ)","영남권","Yeongnam","출발","권역 간","38787295"
"2021","충청권(대전제외)","Chungcheong(excl. DJ)","호남권","Honam","출발","권역 간","17551243"
"2021","충청권(대전제외)","Chungcheong(excl. DJ)","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 내","122444980"
"2021","충청권(대전제외)","Chungcheong(excl. DJ)","대전시","Daejeon","출발","권역 간","4919689"
"2021","충청권(대전제외)","Chungcheong(excl. DJ)","기타","Others","출발","권역 간","7692201"
"2022","수도권","Capital Area","수도권","Capital Area","출발","권역 내","418744018"
"2022","수도권","Capital Area","영남권","Yeongnam","출발","권역 간","115059136"
"2022","수도권","Capital Area","호남권","Honam","출발","권역 간","40785497"
"2022","수도권","Capital Area","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 간","90570089"
"2022","수도권","Capital Area","대전시","Daejeon","출발","권역 간","8424562"
"2022","수도권","Capital Area","기타","Others","출발","권역 간","16198551"
"2022","영남권","Yeongnam","수도권","Capital Area","출발","권역 간","41821736"
"2022","영남권","Yeongnam","영남권","Yeongnam","출발","권역 내","379416592"
"2022","영남권","Yeongnam","호남권","Honam","출발","권역 간","19359689"
"2022","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 간","22231914"
"2022","영남권","Yeongnam","대전시","Daejeon","출발","권역 간","2132993"
"2022","영남권","Yeongnam","기타","Others","출발","권역 간","4585630"
"2022","호남권","Honam","수도권","Capital Area","출발","권역 간","22433792"
"2022","호남권","Honam","영남권","Yeongnam","출발","권역 간","38944734"
"2022","호남권","Honam","호남권","Honam","출발","권역 내","168492236"
"2022","호남권","Honam","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 간","21812135"
"2022","호남권","Honam","대전시","Daejeon","출발","권역 간","2083873"
"2022","호남권","Honam","기타","Others","출발","권역 간","3290490"
"2022","대전시","Daejeon","수도권","Capital Area","출발","권역 간","668159"
"2022","대전시","Daejeon","영남권","Yeongnam","출발","권역 간","1853034"
"2022","대전시","Daejeon","호남권","Honam","출발","권역 간","295610"
"2022","대전시","Daejeon","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 간","534393"
"2022","대전시","Daejeon","대전시","Daejeon","출발","권역 내","908460"
"2022","대전시","Daejeon","기타","Others","출발","권역 간","37007"
"2022","기타","Others","수도권","Capital Area","출발","권역 간","22456040"
"2022","기타","Others","영남권","Yeongnam","출발","권역 간","27477373"
"2022","기타","Others","호남권","Honam","출발","권역 간","8304581"
"2022","기타","Others","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 간","15151358"
"2022","기타","Others","대전시","Daejeon","출발","권역 간","1281678"
"2022","기타","Others","기타","Others","출발","권역 내","41335685"
"2022","충청권(대전제외)","Chungcheong(excl. DJ)","수도권","Capital Area","출발","권역 간","53135592"
"2022","충청권(대전제외)","Chungcheong(excl. DJ)","영남권","Yeongnam","출발","권역 간","51381827"
"2022","충청권(대전제외)","Chungcheong(excl. DJ)","호남권","Honam","출발","권역 간","22479142"
"2022","충청권(대전제외)","Chungcheong(excl. DJ)","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 내","110661256"
"2022","충청권(대전제외)","Chungcheong(excl. DJ)","대전시","Daejeon","출발","권역 간","4987386"
"2022","충청권(대전제외)","Chungcheong(excl. DJ)","기타","Others","출발","권역 간","6221834"
"2023","수도권","Capital Area","수도권","Capital Area","출발","권역 내","386210199"
"2023","수도권","Capital Area","영남권","Yeongnam","출발","권역 간","114338520"
"2023","수도권","Capital Area","호남권","Honam","출발","권역 간","39113331"
"2023","수도권","Capital Area","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 간","81538687"
"2023","수도권","Capital Area","대전시","Daejeon","출발","권역 간","8106955"
"2023","수도권","Capital Area","기타","Others","출발","권역 간","15369225"
"2023","영남권","Yeongnam","수도권","Capital Area","출발","권역 간","41581422"
"2023","영남권","Yeongnam","영남권","Yeongnam","출발","권역 내","360582879"
"2023","영남권","Yeongnam","호남권","Honam","출발","권역 간","18470660"
"2023","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 간","21305225"
"2023","영남권","Yeongnam","대전시","Daejeon","출발","권역 간","2068165"
"2023","영남권","Yeongnam","기타","Others","출발","권역 간","4701069"
"2023","호남권","Honam","수도권","Capital Area","출발","권역 간","21531105"
"2023","호남권","Honam","영남권","Yeongnam","출발","권역 간","37045815"
"2023","호남권","Honam","호남권","Honam","출발","권역 내","163879698"
