"hs_chapter","product_name"
"27","광물성연료ㆍ광물유(鑛物油)와이들의증류물역청(瀝靑)물질광물성왁스"
"28","무기화학품귀금속ㆍ희토류(稀土類)금속ㆍ방사성원소ㆍ동위원소의유기화합물이나무기화합물"
"29","유기화학품"
"30","의료용품"
"31","비료"
"32","유연용ㆍ염색용추출물(extract)탄닌과이들의유도체염료ㆍ안료와그밖의착색제페인트ㆍ바니시(varnish)퍼티(putty)와그밖의매스틱(mastic)잉크"
"33","정유(essentialoil)와레지노이드(resinoid)조제향료와화장품ㆍ화장용품"
"34","비누ㆍ유기계면활성제ㆍ조제세제ㆍ조제윤활제ㆍ인조왁스ㆍ조제왁스ㆍ광택용이나연마용조제품ㆍ양초와이와유사한물품ㆍ조형용페이스트(paste)ㆍ치과용왁스와플라스터(plaster)를기본재료로한치과용조제품"
"35","단백질계물질변성전분글루(glue)효소"
"36","화약류화공품성냥발화성합금특정가연성조제품"
"37","사진용이나영화용재료"
"38","각종화학공업생산품"
"39","플라스틱과그제품"
"40","고무와그제품"
"41","원피(모피는제외한다)와가죽"
"42","가죽제품마구여행용구ㆍ핸드백과이와유사한용기동물거트(gut)[누에의거트(gut)는제외한다]의제품"
"43","모피ㆍ인조모피와이들의제품"
"44","목재와그제품목탄"
"45","코르크(cork)와그제품"
"46","짚ㆍ에스파르토(esparto)나그밖의조물재료의제품바구니세공물(basketware)과지조세공물(枝條細工物)"
"47","목재나그밖의섬유질셀룰로오스재료의펄프회수한종이ㆍ판지[웨이스트(waste)와스크랩(scrap)]"
"48","종이와판지제지용펄프ㆍ종이ㆍ판지의제품"
"49","인쇄서적ㆍ신문ㆍ회화ㆍ그밖의인쇄물수제(手製)문서ㆍ타자문서ㆍ도면"
"50","견"
"51","양모ㆍ동물의부드러운털이나거친털ㆍ말의털로만든실과직물"
"52","면"
"53","그밖의식물성방직용섬유종이실(paperyarn)과종이실로만든직물"
"54","인조필라멘트인조방직용섬유재료의스트립(strip)과이와유사한것"
"55","인조스테이플섬유"
"56","워딩(wadding)ㆍ펠트(felt)ㆍ부직포특수사끈ㆍ배의밧줄(cordage)ㆍ로프ㆍ케이블과이들의제품"
"57","양탄자류와그밖의방직용섬유로만든바닥깔개"
"58","특수직물터프트(tuft)한직물레이스태피스트리(tapestry)트리밍(trimming)자수천"
"59","침투ㆍ도포ㆍ피복하거나적층한방직용섬유의직물공업용인방직용섬유제품"
"60","메리야스편물과뜨개질편물"
"61","의류와그부속품(메리야스편물이나뜨개질편물로한정한다)"
"62","의류와그부속품(메리야스편물이나뜨개질편물은제외한다)"
"63","제품으로된방직용섬유의그밖의물품세트사용하던의류ㆍ방직용섬유제품넝마"
"64","신발류ㆍ각반과이와유사한것이들의부분품"
"65","모자류와그부분품"
"66","산류(傘類)ㆍ지팡이ㆍ시트스틱(seat-stick)ㆍ채찍ㆍ승마용채찍과이들의부분품"
"67","조제깃털ㆍ솜털과그제품조화사람머리카락으로된제품"
"68","돌ㆍ플라스터(plaster)ㆍ시멘트ㆍ석면ㆍ운모나이와유사한재료의제품"
"69","도자제품"
"70","유리와유리제품"
"71","천연진주ㆍ양식진주ㆍ귀석ㆍ반귀석ㆍ귀금속ㆍ귀금속을입힌금속과이들의제품모조신변장식용품주화"
"72","철강"
"73","철강의제품"
"74","구리와그제품"
"75","니켈과그제품"
"76","알루미늄과그제품"
"78","납과그제품"
"79","아연과그제품"
"80","주석과그제품"
"81","그밖의비금속(卑金屬)서멧(cermet)이들의제품"
"82","비금속(卑金屬)으로만든공구ㆍ도구ㆍ칼붙이ㆍ스푼ㆍ포크이들의부분품"
"83","비금속(卑金屬)으로만든각종제품"
"84","원자로ㆍ보일러ㆍ기계류와이들의부분품"
"85","전기기기와그부분품녹음기ㆍ음성재생기ㆍ텔레비전의영상과음성의기록기ㆍ재생기와이들의부분품ㆍ부속품"
"86","철도용이나궤도용기관차ㆍ차량과이들의부분품철도용이나궤도용장비품과그부분품기계식(전기기계식을포함한다)각종교통신호용기기"
"87","철도용이나궤도용외의차량과그부분품ㆍ부속품"
"88","항공기와우주선이들의부분품"
"89","선박과수상구조물"
"90","광학기기ㆍ사진용기기ㆍ영화용기기ㆍ측정기기ㆍ검사기기ㆍ정밀기기ㆍ의료용기기이들의부분품과부속품"
"91","시계와그부분품"
"92","악기와그부분품과부속품"
"93","무기ㆍ총포탄과이들의부분품과부속품"
"94","가구침구ㆍ매트리스ㆍ매트리스서포트(mattresssupport)ㆍ쿠션과이와유사한물품다른류로분류되지않은조명기구조명용사인ㆍ조명용네임플레이트(name-plate)와이와유사한물품조립식건축물"
"95","완구ㆍ게임용구ㆍ운동용구와이들의부분품과부속품"
"96","잡품"
"97","예술품ㆍ수집품ㆍ골동품"
"99","일시적입법;설치된간이수정에따른입법을트레이드한다;추가적수입제한농업인것의제22부에따른확립된것조정행위수정된것처럼"
"01","살아있는동물"
"02","육과식용설육(屑肉)"
"03","어류ㆍ갑각류ㆍ연체동물과그밖의수생(水生)무척추동물"
"04","낙농품새의알천연꿀다른류로분류되지않은식용인동물성생산품"
"05","다른류로분류되지않은동물성생산품"
"06","살아있는수목과그밖의식물인경(鱗莖)ㆍ뿌리와이와유사한물품절화(切花)와장식용잎"
"07","식용의채소ㆍ뿌리ㆍ괴경(塊莖)"
"08","식용의과실과견과류감귤류ㆍ멜론의껍질"
"09","커피ㆍ차ㆍ마테(maté)ㆍ향신료"
"10","곡물"
"11","제분공업의생산품과맥아전분이눌린(inulin)밀의글루텐(gluten)"
"12","채유(採油)에적합한종자와과실각종종자와과실공업용ㆍ의약용식물짚과사료용식물"
"13","락(lac)검ㆍ수지ㆍ그밖의식물성수액과추출물(extract)"
"14","식물성편조물(編組物)용재료와다른류로분류되지않은식물성생산품"
"15","동물성ㆍ식물성ㆍ미생물성지방과기름및이들의분해생산물조제한식용지방과동물성ㆍ식물성왁스"
"16","육류ㆍ어류ㆍ갑각류ㆍ연체동물이나그밖의수생(水生)무척추동물또는곤충의조제품"
"17","당류(糖類)와설탕과자"
"18","코코아와그조제품"
"19","곡물ㆍ고운가루ㆍ전분ㆍ밀크의조제품과베이커리제품"
"20","채소ㆍ과실ㆍ견과류나식물의그밖의부분의조제품"
"21","각종조제식료품"
"22","음료ㆍ주류ㆍ식초"
"23","식품공업에서생기는잔재물과웨이스트(waste)조제사료"
"24","담배와제조한담배대용물연소시키지않고흡입하도록만들어진물품(니코틴을함유하였는지에상관없다)니코틴을함유한그밖의물품으로인체내에니코틴을흡수시키도록만들어진것"
"25","소금황토석류(土石類)석고ㆍ석회ㆍ시멘트"
"26","광(鑛)ㆍ슬래그(slag)ㆍ회(灰)"
"27","광물성연료ㆍ광물유(鑛物油)와이들의증류물역청(瀝靑)물질광물성왁스"
"28","무기화학품귀금속ㆍ희토류(稀土類)금속ㆍ방사성원소ㆍ동위원소의유기화합물이나무기화합물"
"29","유기화학품"
"30","의료용품"
"31","비료"
"32","유연용ㆍ염색용추출물(extract)탄닌과이들의유도체염료ㆍ안료와그밖의착색제페인트ㆍ바니시(varnish)퍼티(putty)와그밖의매스틱(mastic)잉크"
"33","정유(essentialoil)와레지노이드(resinoid)조제향료와화장품ㆍ화장용품"
"34","비누ㆍ유기계면활성제ㆍ조제세제ㆍ조제윤활제ㆍ인조왁스ㆍ조제왁스ㆍ광택용이나연마용조제품ㆍ양초와이와유사한물품ㆍ조형용페이스트(paste)ㆍ치과용왁스와플라스터(plaster)를기본재료로한치과용조제품"
"35","단백질계물질변성전분글루(glue)효소"
"36","화약류화공품성냥발화성합금특정가연성조제품"
"37","사진용이나영화용재료"
"38","각종화학공업생산품"
"39","플라스틱과그제품"
"40","고무와그제품"
"41","원피(모피는제외한다)와가죽"
"42","가죽제품마구여행용구ㆍ핸드백과이와유사한용기동물거트(gut)[누에의거트(gut)는제외한다]의제품"
"43","모피ㆍ인조모피와이들의제품"
"44","목재와그제품목탄"
"45","코르크(cork)와그제품"
"46","짚ㆍ에스파르토(esparto)나그밖의조물재료의제품바구니세공물(basketware)과지조세공물(枝條細工物)"
"47","목재나그밖의섬유질셀룰로오스재료의펄프회수한종이ㆍ판지[웨이스트(waste)와스크랩(scrap)]"
"48","종이와판지제지용펄프ㆍ종이ㆍ판지의제품"
"49","인쇄서적ㆍ신문ㆍ회화ㆍ그밖의인쇄물수제(手製)문서ㆍ타자문서ㆍ도면"
"50","견"
"51","양모ㆍ동물의부드러운털이나거친털ㆍ말의털로만든실과직물"
"52","면"
"53","그밖의식물성방직용섬유종이실(paperyarn)과종이실로만든직물"
"54","인조필라멘트인조방직용섬유재료의스트립(strip)과이와유사한것"
"55","인조스테이플섬유"
"56","워딩(wadding)ㆍ펠트(felt)ㆍ부직포특수사끈ㆍ배의밧줄(cordage)ㆍ로프ㆍ케이블과이들의제품"
"57","양탄자류와그밖의방직용섬유로만든바닥깔개"
"58","특수직물터프트(tuft)한직물레이스태피스트리(tapestry)트리밍(trimming)자수천"
"59","침투ㆍ도포ㆍ피복하거나적층한방직용섬유의직물공업용인방직용섬유제품"
"60","메리야스편물과뜨개질편물"
"61","의류와그부속품(메리야스편물이나뜨개질편물로한정한다)"
"62","의류와그부속품(메리야스편물이나뜨개질편물은제외한다)"
"63","제품으로된방직용섬유의그밖의물품세트사용하던의류ㆍ방직용섬유제품넝마"
"64","신발류ㆍ각반과이와유사한것이들의부분품"
"65","모자류와그부분품"
"66","산류(傘類)ㆍ지팡이ㆍ시트스틱(seat-stick)ㆍ채찍ㆍ승마용채찍과이들의부분품"
"67","조제깃털ㆍ솜털과그제품조화사람머리카락으로된제품"
"68","돌ㆍ플라스터(plaster)ㆍ시멘트ㆍ석면ㆍ운모나이와유사한재료의제품"
"69","도자제품"
"70","유리와유리제품"
"71","천연진주ㆍ양식진주ㆍ귀석ㆍ반귀석ㆍ귀금속ㆍ귀금속을입힌금속과이들의제품모조신변장식용품주화"
"72","철강"
"73","철강의제품"
"74","구리와그제품"
"75","니켈과그제품"
"76","알루미늄과그제품"
"78","납과그제품"
"79","아연과그제품"
"80","주석과그제품"
"81","그밖의비금속(卑金屬)서멧(cermet)이들의제품"
"82","비금속(卑金屬)으로만든공구ㆍ도구ㆍ칼붙이ㆍ스푼ㆍ포크이들의부분품"
"83","비금속(卑金屬)으로만든각종제품"
"84","원자로ㆍ보일러ㆍ기계류와이들의부분품"
"85","전기기기와그부분품녹음기ㆍ음성재생기ㆍ텔레비전의영상과음성의기록기ㆍ재생기와이들의부분품ㆍ부속품"
"86","철도용이나궤도용기관차ㆍ차량과이들의부분품철도용이나궤도용장비품과그부분품기계식(전기기계식을포함한다)각종교통신호용기기"
"87","철도용이나궤도용외의차량과그부분품ㆍ부속품"
"88","항공기와우주선이들의부분품"
"89","선박과수상구조물"
"90","광학기기ㆍ사진용기기ㆍ영화용기기ㆍ측정기기ㆍ검사기기ㆍ정밀기기ㆍ의료용기기이들의부분품과부속품"
"91","시계와그부분품"
"92","악기와그부분품과부속품"
"93","무기ㆍ총포탄과이들의부분품과부속품"
"94","가구침구ㆍ매트리스ㆍ매트리스서포트(mattresssupport)ㆍ쿠션과이와유사한물품다른류로분류되지않은조명기구조명용사인ㆍ조명용네임플레이트(name-plate)와이와유사한물품조립식건축물"
"95","완구ㆍ게임용구ㆍ운동용구와이들의부분품과부속품"
"96","잡품"
"97","예술품ㆍ수집품ㆍ골동품"
"99","일시적입법;설치된간이수정에따른입법을트레이드한다;추가적수입제한농업인것의제22부에따른확립된것조정행위수정된것처럼"
"01","살아있는동물"
"02","육과식용설육(屑肉)"
"03","어류ㆍ갑각류ㆍ연체동물과그밖의수생(水生)무척추동물"
"04","낙농품새의알천연꿀다른류로분류되지않은식용인동물성생산품"
"05","다른류로분류되지않은동물성생산품"
"06","살아있는수목과그밖의식물인경(鱗莖)ㆍ뿌리와이와유사한물품절화(切花)와장식용잎"
"07","식용의채소ㆍ뿌리ㆍ괴경(塊莖)"
"08","식용의과실과견과류감귤류ㆍ멜론의껍질"
"09","커피ㆍ차ㆍ마테(maté)ㆍ향신료"
"10","곡물"
"11","제분공업의생산품과맥아전분이눌린(inulin)밀의글루텐(gluten)"
"12","채유(採油)에적합한종자와과실각종종자와과실공업용ㆍ의약용식물짚과사료용식물"
"13","락(lac)검ㆍ수지ㆍ그밖의식물성수액과추출물(extract)"
"14","식물성편조물(編組物)용재료와다른류로분류되지않은식물성생산품"
"15","동물성ㆍ식물성ㆍ미생물성지방과기름및이들의분해생산물조제한식용지방과동물성ㆍ식물성왁스"
"16","육류ㆍ어류ㆍ갑각류ㆍ연체동물이나그밖의수생(水生)무척추동물또는곤충의조제품"
"17","당류(糖類)와설탕과자"
"18","코코아와그조제품"
"19","곡물ㆍ고운가루ㆍ전분ㆍ밀크의조제품과베이커리제품"
"20","채소ㆍ과실ㆍ견과류나식물의그밖의부분의조제품"
"21","각종조제식료품"
"22","음료ㆍ주류ㆍ식초"
"23","식품공업에서생기는잔재물과웨이스트(waste)조제사료"
"24","담배와제조한담배대용물연소시키지않고흡입하도록만들어진물품(니코틴을함유하였는지에상관없다)니코틴을함유한그밖의물품으로인체내에니코틴을흡수시키도록만들어진것"
"25","소금황토석류(土石類)석고ㆍ석회ㆍ시멘트"
"26","광(鑛)ㆍ슬래그(slag)ㆍ회(灰)"
"27","광물성연료ㆍ광물유(鑛物油)와이들의증류물역청(瀝靑)물질광물성왁스"
"28","무기화학품귀금속ㆍ희토류(稀土類)금속ㆍ방사성원소ㆍ동위원소의유기화합물이나무기화합물"
"29","유기화학품"
"30","의료용품"
"31","비료"
"32","유연용ㆍ염색용추출물(extract)탄닌과이들의유도체염료ㆍ안료와그밖의착색제페인트ㆍ바니시(varnish)퍼티(putty)와그밖의매스틱(mastic)잉크"
"33","정유(essentialoil)와레지노이드(resinoid)조제향료와화장품ㆍ화장용품"
"34","비누ㆍ유기계면활성제ㆍ조제세제ㆍ조제윤활제ㆍ인조왁스ㆍ조제왁스ㆍ광택용이나연마용조제품ㆍ양초와이와유사한물품ㆍ조형용페이스트(paste)ㆍ치과용왁스와플라스터(plaster)를기본재료로한치과용조제품"
"35","단백질계물질변성전분글루(glue)효소"
"36","화약류화공품성냥발화성합금특정가연성조제품"
"37","사진용이나영화용재료"
"38","각종화학공업생산품"
"39","플라스틱과그제품"
"40","고무와그제품"
"41","원피(모피는제외한다)와가죽"
"42","가죽제품마구여행용구ㆍ핸드백과이와유사한용기동물거트(gut)[누에의거트(gut)는제외한다]의제품"
"43","모피ㆍ인조모피와이들의제품"
"44","목재와그제품목탄"
"45","코르크(cork)와그제품"
"46","짚ㆍ에스파르토(esparto)나그밖의조물재료의제품바구니세공물(basketware)과지조세공물(枝條細工物)"
"47","목재나그밖의섬유질셀룰로오스재료의펄프회수한종이ㆍ판지[웨이스트(waste)와스크랩(scrap)]"
"48","종이와판지제지용펄프ㆍ종이ㆍ판지의제품"
"49","인쇄서적ㆍ신문ㆍ회화ㆍ그밖의인쇄물수제(手製)문서ㆍ타자문서ㆍ도면"
"50","견"
"51","양모ㆍ동물의부드러운털이나거친털ㆍ말의털로만든실과직물"
"52","면"
"53","그밖의식물성방직용섬유종이실(paperyarn)과종이실로만든직물"
"54","인조필라멘트인조방직용섬유재료의스트립(strip)과이와유사한것"
"55","인조스테이플섬유"
"56","워딩(wadding)ㆍ펠트(felt)ㆍ부직포특수사끈ㆍ배의밧줄(cordage)ㆍ로프ㆍ케이블과이들의제품"
"57","양탄자류와그밖의방직용섬유로만든바닥깔개"
"58","특수직물터프트(tuft)한직물레이스태피스트리(tapestry)트리밍(trimming)자수천"
"59","침투ㆍ도포ㆍ피복하거나적층한방직용섬유의직물공업용인방직용섬유제품"
"60","메리야스편물과뜨개질편물"
"61","의류와그부속품(메리야스편물이나뜨개질편물로한정한다)"
"62","의류와그부속품(메리야스편물이나뜨개질편물은제외한다)"
"63","제품으로된방직용섬유의그밖의물품세트사용하던의류ㆍ방직용섬유제품넝마"
"64","신발류ㆍ각반과이와유사한것이들의부분품"
"65","모자류와그부분품"
"66","산류(傘類)ㆍ지팡이ㆍ시트스틱(seat-stick)ㆍ채찍ㆍ승마용채찍과이들의부분품"
"67","조제깃털ㆍ솜털과그제품조화사람머리카락으로된제품"
"68","돌ㆍ플라스터(plaster)ㆍ시멘트ㆍ석면ㆍ운모나이와유사한재료의제품"
"69","도자제품"
"70","유리와유리제품"
"71","천연진주ㆍ양식진주ㆍ귀석ㆍ반귀석ㆍ귀금속ㆍ귀금속을입힌금속과이들의제품모조신변장식용품주화"
"72","철강"
"73","철강의제품"
"74","구리와그제품"
"75","니켈과그제품"
"76","알루미늄과그제품"
"78","납과그제품"
"79","아연과그제품"
"80","주석과그제품"
"81","그밖의비금속(卑金屬)서멧(cermet)이들의제품"
"82","비금속(卑金屬)으로만든공구ㆍ도구ㆍ칼붙이ㆍ스푼ㆍ포크이들의부분품"
"83","비금속(卑金屬)으로만든각종제품"
"84","원자로ㆍ보일러ㆍ기계류와이들의부분품"
"85","전기기기와그부분품녹음기ㆍ음성재생기ㆍ텔레비전의영상과음성의기록기ㆍ재생기와이들의부분품ㆍ부속품"
"86","철도용이나궤도용기관차ㆍ차량과이들의부분품철도용이나궤도용장비품과그부분품기계식(전기기계식을포함한다)각종교통신호용기기"
"87","철도용이나궤도용외의차량과그부분품ㆍ부속품"
"88","항공기와우주선이들의부분품"
"89","선박과수상구조물"
"90","광학기기ㆍ사진용기기ㆍ영화용기기ㆍ측정기기ㆍ검사기기ㆍ정밀기기ㆍ의료용기기이들의부분품과부속품"
"91","시계와그부분품"
"92","악기와그부분품과부속품"
"93","무기ㆍ총포탄과이들의부분품과부속품"
"94","가구침구ㆍ매트리스ㆍ매트리스서포트(mattresssupport)ㆍ쿠션과이와유사한물품다른류로분류되지않은조명기구조명용사인ㆍ조명용네임플레이트(name-plate)와이와유사한물품조립식건축물"
"95","완구ㆍ게임용구ㆍ운동용구와이들의부분품과부속품"
"96","잡품"
"97","예술품ㆍ수집품ㆍ골동품"
"99","일시적입법;설치된간이수정에따른입법을트레이드한다;추가적수입제한농업인것의제22부에따른확립된것조정행위수정된것처럼"
"01","살아있는동물"
"02","육과식용설육(屑肉)"
"03","어류ㆍ갑각류ㆍ연체동물과그밖의수생(水生)무척추동물"
"04","낙농품새의알천연꿀다른류로분류되지않은식용인동물성생산품"
"05","다른류로분류되지않은동물성생산품"
"06","살아있는수목과그밖의식물인경(鱗莖)ㆍ뿌리와이와유사한물품절화(切花)와장식용잎"
"07","식용의채소ㆍ뿌리ㆍ괴경(塊莖)"
"08","식용의과실과견과류감귤류ㆍ멜론의껍질"
"09","커피ㆍ차ㆍ마테(maté)ㆍ향신료"
"10","곡물"
"11","제분공업의생산품과맥아전분이눌린(inulin)밀의글루텐(gluten)"
"12","채유(採油)에적합한종자와과실각종종자와과실공업용ㆍ의약용식물짚과사료용식물"
"13","락(lac)검ㆍ수지ㆍ그밖의식물성수액과추출물(extract)"
"14","식물성편조물(編組物)용재료와다른류로분류되지않은식물성생산품"
"15","동물성ㆍ식물성ㆍ미생물성지방과기름및이들의분해생산물조제한식용지방과동물성ㆍ식물성왁스"
"16","육류ㆍ어류ㆍ갑각류ㆍ연체동물이나그밖의수생(水生)무척추동물또는곤충의조제품"
"17","당류(糖類)와설탕과자"
"18","코코아와그조제품"
